"Id" "Survey" "Country" "Aa" "Ab" "Ac" "Ad" "Ae" "Af" "ST01" "SU02" "D03" "ST04" "SU05" "D06" "D07" "SU08" "ST09" "SU10" "D11" "ST12" "SU13" "D14" "D15" "SU16" "ST17" "SU18" "D19" "ST20" "SU21" "D22" "D23" "SU24" "ST25" "SU26" "D27" "ST28" "SU29" "D30" "D31" "SU32" "Ca" "Cb" "Cc" "Cd" "Ce" "Cf" "Cg" "Ch" "Da" "Db" "Dc" "Dd" "De" "Df" "Dg" "Dh" "Di" "Dj" "Age" "Gender" "Years" "Courses" "Hours" "Degree" "Lar" "Lat" "d_sm" "d_ri" "d_ue" "su_lp" "su_um" "su_sb" "st_os" "st_tm" "Deep" "Surf" "Stra" "Deep_adj" "Surf_adj" "Stra_adj" "Su_Ti" "D_Su" "StatConf" "Value" "Interest" "MathConf" "Affect" "Attitude" "FSVdeep" "FSVstra" "FSVsurf" "FSOdeep" "FSOstra" "FSOsurf" "Points" "Fails"
"21" 94 2014 6 3 1 2 1 1 1 4 3 5 5 2 4 5 4 4 1 4 4 2 4 4 2 2 2 4 4 2 4 4 3 4 4 4 3 4 4 2 4 4 5 4 4 4 4 5 3 2 4 4 2 4 1 4 1 1 4 30 2 10 3 18 1 6 3 17 17 14 10 10 13 14 16 48 33 30 4 2.75 3.75 15 18 3 8 8 3 5 27 0.501629233360291 0.682927370071411 -0.3494873046875 0.580902695655823 0.707021713256836 -0.40370836853981 24 0
"22" 162 2014 6 4 4 4 4 4 4 3 2 4 3 2 4 4 4 3 2 4 2 1 4 3 2 3 1 4 2 1 4 4 3 3 4 4 2 2 4 4 4 3 4 4 3 4 3 4 4 4 4 4 4 4 3 4 5 3 4 27 1 10 5 6 2 12 12 16 16 15 9 6 13 12 9 47 28 21 3.91666674613953 2.33333325386047 2.625 14 15 7 8 8 7 9 39 0.212749168276787 -0.550707280635834 -0.613669097423553 0.236455634236336 -0.529370665550232 -0.6302610039711 28 0
"23" 236 2014 6 3 2 2 2 1 2 4 2 4 2 3 4 4 4 2 1 4 3 2 4 4 3 2 1 4 2 4 4 4 2 2 2 4 2 2 4 4 3 3 5 4 3 2 4 3 3 3 4 4 3 4 2 3 4 3 4 29 1 8 2 14 1 7 5 16 16 16 6 11 12 10 9 48 29 19 4 2.41666674613953 2.375 11 16 5 8 8 6 7 34 0.262116014957428 -0.67744642496109 -0.854434967041016 0.307192325592041 -0.646899402141571 -0.870148479938507 30 0
"24" 307 2014 6 4 1 2 1 1 1 5 4 5 5 1 3 4 3 4 2 5 3 2 5 4 3 2 3 5 4 3 4 2 3 2 5 4 4 3 3 4 4 2 5 3 4 5 3 5 3 2 4 4 2 3 1 3 2 2 4 31 2 NA NA 18 1 7 3 19 16 13 14 9 13 13 16 48 36 29 4 3 3.625 14 16 3 8 7 4 5 27 0.713734984397888 0.666575908660889 0.085611969232559 0.756009221076965 0.703862249851227 -0.000205562289921 24 0
"25" 215 2014 6 3 2 2 1 1 1 4 4 5 3 2 3 4 2 2 1 5 4 2 4 2 2 5 1 4 1 4 5 3 1 1 4 2 2 2 3 4 4 5 5 5 3 5 2 3 4 3 2 4 2 3 1 3 1 1 3 37 2 2 1 16 1 6 4 16 16 12 10 10 9 12 10 44 29 22 3.66666674613953 2.41666674613953 2.75 17 15 4 5 7 3 4 23 0.318731248378754 -0.4251309633255 -0.72643107175827 0.385699301958084 -0.398336052894592 -0.706806898117065 9 3
"26" 308 2014 6 2 2 1 1 1 1 2 2 5 2 2 4 4 4 4 1 4 1 5 4 2 4 2 1 4 1 2 2 4 2 1 5 3 1 2 4 4 4 1 4 2 5 4 2 4 2 2 5 5 5 5 2 4 2 2 5 26 2 NA NA 10 2 4 4 16 14 14 9 11 14 9 5 44 34 14 3.66666674613953 2.83333325386047 1.75 12 12 4 10 10 7 6 37 -0.038766153156757 -1.35367119312286 -0.056292172521353 -0.106287330389023 -1.3571275472641 -0.051223900169134 26 0
"27" 251 2014 6 3 1 2 1 1 1 3 4 5 3 3 5 5 2 4 2 5 3 3 5 2 5 4 2 5 3 1 3 5 5 3 3 5 3 3 3 5 5 3 5 5 3 5 2 3 4 4 5 5 5 5 2 4 5 4 5 26 2 8 2 14 2 6 3 20 16 17 11 10 17 14 12 53 38 26 4.41666650772095 3.16666674613953 3.25 15 15 6 10 10 9 9 44 1.39421999454498 0.378741919994354 1.51323306560516 1.23355138301849 0.438116908073425 1.32716500759125 32 0
"28" 226 2014 6 2 2 1 1 1 1 5 4 5 4 4 4 4 1 4 4 4 4 3 4 2 4 3 1 4 4 2 4 4 4 5 4 4 3 1 4 4 4 4 5 5 4 4 4 5 4 4 5 5 4 5 2 4 3 4 5 30 1 9 3 30 1 4 4 17 16 14 13 10 13 17 15 47 36 32 3.91666674613953 3 4 16 19 6 10 10 8 7 41 0.390756160020828 1.0098340511322 0.696591734886169 0.371914654970169 1.0151184797287 0.625940024852753 32 0
"29" 309 2014 6 4 2 3 1 2 2 4 4 5 3 1 3 3 2 1 1 4 3 1 4 4 2 2 1 4 1 1 4 3 2 1 5 3 2 3 5 4 3 3 4 3 3 3 3 4 2 1 4 3 3 3 1 3 2 1 3 37 2 NA NA 4 1 8 6 16 16 14 11 6 9 8 9 46 26 17 3.83333325386047 2.16666674613953 2.125 11 14 2 7 6 4 5 24 0.099622189998627 -1.12076723575592 -1.31236982345581 0.184626162052155 -1.09399318695068 -1.30760192871094 0 3
"30" 238 2014 6 3 1 2 1 1 1 4 1 5 4 2 4 4 2 4 2 3 2 2 4 3 1 2 1 3 5 3 3 3 2 4 2 4 4 2 4 5 4 4 5 4 3 4 3 3 4 4 4 3 5 4 4 2 1 5 5 33 2 1 5 14 1 6 3 15 15 15 6 9 9 14 15 45 24 29 3.75 2 3.625 15 15 8 9 7 10 3 37 -0.05656661465764 0.845716238021851 -1.37059950828552 0.166057094931602 0.862449824810028 -1.35922229290009 33 0
"31" 224 2014 6 2 2 3 2 1 3 3 4 4 3 4 4 3 1 3 3 3 2 4 4 3 4 4 3 4 2 4 3 2 3 4 5 2 2 3 3 4 4 4 4 3 4 5 1 2 5 1 3 3 4 3 1 3 2 2 3 33 2 4 1 16 1 7 6 13 13 13 15 15 12 14 9 39 42 23 3.25 3.5 2.875 18 10 2 6 6 6 5 25 -0.694572865962982 -0.294491946697235 0.902166366577148 -0.819628238677979 -0.342166781425476 0.979481339454651 29 0
"32" 271 2014 6 2 4 2 2 1 2 4 4 4 3 3 5 4 2 4 4 5 2 4 4 2 5 5 3 4 2 2 3 4 5 2 5 2 2 3 2 4 5 5 4 5 3 5 4 4 4 4 3 4 2 4 2 4 2 2 3 28 1 7 2 10 2 6 7 15 13 15 16 12 17 15 9 43 45 24 3.58333325386047 3.75 3 17 17 6 6 8 4 6 30 0.201319575309753 -0.158516421914101 2.15060353279114 -0.056633219122887 -0.180476397275925 2.10014176368713 30 0
"33" 310 2014 6 1 1 1 1 1 1 2 4 5 2 4 5 5 1 4 1 5 1 1 5 5 1 1 4 4 1 5 5 5 1 1 1 5 1 2 5 5 5 5 5 5 5 5 5 5 5 1 5 5 4 5 1 4 3 1 5 26 1 NA NA 14 2 3 3 19 20 20 10 12 8 8 5 59 30 13 4.91666650772095 2.5 1.625 20 20 2 10 10 5 7 34 2.02965521812439 -1.36730921268463 -0.816249668598175 2.00012731552124 -1.24547922611237 -0.962465286254883 19 0
"34" 311 2014 6 4 1 1 1 1 1 5 2 5 2 2 4 4 2 4 1 3 4 2 5 2 1 4 1 4 1 2 4 3 2 4 4 2 2 2 3 4 4 4 5 4 4 4 2 5 4 3 4 4 4 4 1 4 4 2 2 27 2 NA NA 4 1 6 3 14 16 13 8 8 9 17 9 43 25 26 3.58333325386047 2.08333325386047 3.25 16 16 4 6 8 6 8 32 -0.017093397676945 0.020100751891732 -0.999324142932892 0.100570559501648 0.033881567418575 -0.969208121299744 23 0
"35" 126 2014 6 3 2 2 1 2 3 4 1 3 4 2 3 4 2 2 3 3 4 3 4 2 2 3 1 3 3 2 3 3 3 4 5 2 4 2 3 2 3 3 4 3 3 4 2 3 2 2 3 2 1 2 1 2 2 1 4 25 2 1 4 14 1 6 7 11 14 10 10 9 10 13 15 35 29 28 2.91666674613953 2.41666674613953 3.5 12 12 3 7 4 2 4 20 -1.49002456665039 0.654399037361145 -0.826273918151855 -1.34098422527313 0.591256141662598 -0.685214281082153 19 2
"36" 25 2014 6 4 3 1 1 1 1 4 2 4 4 2 4 3 3 3 1 4 3 3 4 4 3 3 1 4 3 3 3 3 3 2 4 3 2 2 4 4 4 3 5 4 2 4 4 4 4 2 4 4 1 2 1 2 2 1 5 31 2 1 5 20 1 6 5 15 14 15 8 10 13 12 12 44 31 24 3.66666674613953 2.58333325386047 3 13 17 3 9 6 2 4 24 -0.193301722407341 -0.110282577574253 -0.308751881122589 -0.151749953627586 -0.128239452838898 -0.293580114841461 12 2
"37" 257 2014 6 2 5 4 5 5 4 4 1 5 4 2 4 5 2 3 1 5 3 1 4 4 1 3 1 4 3 1 4 5 1 4 3 4 2 2 5 5 3 3 5 3 2 3 4 5 3 3 4 5 4 5 3 4 5 4 5 20 1 1 3 4 1 11 14 18 18 18 6 6 7 14 12 54 19 26 4.5 1.58333337306976 3.25 11 17 6 9 10 8 9 42 1.1163866519928 0.035743448883295 -1.74557328224182 1.32732892036438 0.110494256019592 -1.83646845817566 10 3
"38" 312 2014 6 4 4 5 5 5 5 5 1 4 4 1 5 3 3 1 5 5 1 5 5 3 1 1 1 4 1 1 5 2 1 1 5 3 1 5 5 5 5 4 4 2 2 2 2 1 5 1 4 4 1 1 1 1 1 1 1 39 2 NA NA 2 1 14 14 16 18 15 12 12 10 8 7 49 34 15 4.08333349227905 2.83333325386047 1.875 13 9 2 5 5 2 2 16 0.687922358512878 -1.50105917453766 -0.527376770973206 0.638674795627594 -1.46461153030396 -0.559078335762024 11 3
"39" 195 2014 6 4 1 2 1 1 1 5 2 4 5 2 4 4 2 4 1 4 4 2 4 4 1 4 1 4 4 2 4 4 2 4 4 4 5 1 3 3 2 2 4 4 4 3 4 4 3 3 4 4 2 4 2 4 2 2 4 38 1 6 1 20 1 7 3 16 15 15 8 7 7 17 18 46 22 35 3.83333325386047 1.83333337306976 4.375 12 16 5 8 8 4 6 31 -0.100701801478863 1.60392451286316 -1.46637117862701 0.186523780226707 1.61918652057648 -1.45734560489654 20 0
"40" 230 2014 6 3 3 1 1 2 3 4 5 4 5 2 3 5 1 4 2 2 5 4 4 2 1 2 1 3 3 2 3 2 2 2 5 3 4 2 4 4 2 1 4 3 3 4 4 3 2 4 5 5 5 4 1 3 4 2 5 24 1 5 6 4 2 5 8 12 16 11 13 10 6 12 17 39 29 29 3.25 2.41666674613953 3.625 10 14 5 10 9 7 7 38 -0.883534550666809 0.913337886333466 -1.24981379508972 -0.681933760643005 0.875085592269897 -1.16413068771362 26 0
"41" 313 2014 6 2 3 3 4 1 4 4 4 4 2 2 1 2 2 2 2 2 2 4 4 1 4 2 4 2 3 1 1 2 4 4 5 3 1 2 4 2 5 4 5 2 2 3 2 3 4 4 4 5 4 4 2 3 5 4 3 26 1 NA NA 6 2 9 8 11 11 6 15 9 15 12 8 28 39 20 2.33333325386047 3.25 2.5 13 12 6 7 9 8 8 38 -2.14904165267944 -0.840403318405151 0.299804121255875 -2.22592115402222 -0.971093058586121 0.503376841545105 31 0
"42" 268 2014 6 4 1 2 1 1 2 2 3 4 1 4 4 5 4 1 4 2 2 2 4 5 4 1 4 2 1 1 2 2 4 1 5 2 1 2 4 4 4 2 5 4 5 4 2 4 3 3 5 4 2 4 2 3 3 2 5 25 1 6 11 0 1 7 4 10 15 15 16 9 16 5 5 40 41 10 3.33333325386047 3.41666674613953 1.25 14 15 5 10 8 4 6 33 -0.662917673587799 -2.08042001724243 0.427091419696808 -0.876993775367737 -2.10544848442078 0.472102999687195 20 0
"43" 33 2014 6 4 2 2 1 2 1 4 4 5 5 3 4 4 2 4 3 4 3 4 4 5 2 3 4 5 5 3 3 2 2 5 5 5 3 5 3 5 4 1 4 3 3 4 4 4 5 2 4 2 1 1 1 1 1 1 3 30 2 3 2 34 1 7 5 19 14 16 16 15 10 16 16 49 41 32 4.08333349227905 3.41666674613953 4 13 15 3 7 3 2 2 17 0.630097150802612 0.894554257392883 0.511735618114471 0.631554305553436 0.912283778190613 0.458810567855835 23 0
"44" 314 2014 6 3 2 1 1 1 2 4 2 4 4 4 4 3 4 2 2 2 2 2 4 2 4 4 2 2 2 2 2 2 4 4 4 2 2 4 4 4 4 4 5 3 4 4 3 4 4 2 4 4 1 2 1 3 2 1 5 25 2 NA NA 8 1 5 5 10 13 12 10 12 16 14 10 35 38 24 2.91666674613953 3.16666674613953 3 16 15 3 9 6 2 5 25 -1.13209390640259 -0.290454655885696 0.636829435825348 -1.23418259620667 -0.365523546934128 0.738073647022247 12 0
"45" 315 2014 6 4 5 5 4 5 5 3 5 3 2 2 4 4 4 2 2 3 2 4 4 3 4 2 3 3 5 1 3 3 5 3 4 3 1 4 4 3 4 4 5 2 4 4 3 4 4 3 4 4 3 4 2 3 3 2 4 30 1 NA NA 16 2 13 15 12 15 13 14 11 17 10 10 40 42 20 3.33333325386047 3.5 2.5 16 14 5 8 8 5 6 32 -0.775917410850525 -0.916181862354279 0.628468096256256 -0.92917537689209 -0.969214856624603 0.673076629638672 24 2
"46" 256 2014 6 2 1 2 1 1 1 5 1 5 5 4 4 5 2 5 1 5 5 4 4 2 1 5 2 5 4 2 4 2 2 5 5 4 5 3 1 5 5 4 5 5 2 5 2 4 5 2 5 5 2 5 1 4 4 2 5 48 2 4 5 14 1 5 3 19 14 13 9 13 10 20 19 46 32 39 3.83333325386047 2.66666674613953 4.875 16 16 3 10 10 4 8 35 0.625576972961426 2.20136594772339 0.208589822053909 0.766116917133331 2.23439645767212 0.175305813550949 17 1
"47" 192 2014 6 3 1 2 1 1 2 5 4 4 5 2 3 4 1 5 2 4 5 3 4 3 1 5 1 4 5 3 4 3 2 5 4 3 5 3 4 4 3 2 5 5 3 4 3 4 3 4 5 5 2 4 1 4 2 1 4 24 2 4 5 26 2 6 4 15 16 13 11 11 7 20 20 44 29 40 3.66666674613953 2.41666674613953 5 12 17 5 9 9 3 6 32 -0.254250973463058 2.12549901008606 -0.790515959262848 -0.006032633595169 2.12272620201111 -0.75223034620285 29 0
"48" 78 2014 6 4 1 1 1 1 1 5 5 5 5 4 5 5 3 4 1 4 5 4 5 4 4 4 2 4 5 4 5 4 4 3 4 5 4 4 5 5 4 3 5 4 4 3 4 4 3 4 5 5 4 5 2 5 3 4 5 40 2 4 3 24 2 6 3 18 20 18 12 16 15 16 19 56 43 35 4.66666650772095 3.58333325386047 4.375 13 17 6 10 10 8 8 42 1.55271875858307 1.43515038490295 1.10883855819702 1.48127782344818 1.50269138813019 0.92136424779892 23 0
"49" 201 2014 6 2 1 1 1 1 1 5 2 5 2 2 5 5 1 2 1 4 4 4 4 2 1 2 1 1 5 3 5 2 2 4 4 2 2 2 5 5 2 3 5 5 4 4 4 5 4 4 5 4 4 4 1 2 1 1 5 25 1 5 4 6 2 4 3 12 19 14 8 11 6 13 13 45 25 26 3.75 2.08333325386047 3.25 15 19 5 10 8 5 3 31 0.040932651609182 -0.072126254439354 -1.79763340950012 0.244711622595787 -0.043849069625139 -1.80014538764954 28 0
"50" 37 2014 6 2 1 2 1 1 1 4 3 4 4 4 5 2 1 5 4 4 4 4 3 3 3 4 4 4 3 4 3 4 4 5 5 3 3 4 3 3 5 5 4 4 4 5 3 3 5 4 5 5 4 5 2 4 2 3 5 23 2 5 5 20 2 5 3 15 11 15 16 16 13 18 14 41 45 32 3.41666674613953 3.75 4 19 14 6 10 10 7 6 39 -0.527439296245575 1.07289004325867 1.53150534629822 -0.620790898799896 1.01697874069214 1.58461058139801 31 0
"51" 316 2014 6 5 1 2 1 1 1 5 2 4 5 3 5 4 3 2 2 4 1 3 4 4 3 3 1 3 1 2 5 4 4 4 5 4 4 3 5 4 4 3 5 5 3 2 3 3 4 1 2 1 1 1 1 1 5 5 1 25 2 NA NA 14 1 8 3 15 18 17 10 11 14 14 11 50 35 25 4.16666650772095 2.91666674613953 3.125 12 16 2 3 2 6 6 19 0.581108152866364 0.065453678369522 0.268206596374512 0.520309865474701 0.103968232870102 0.186560243368149 23 1
"52" 265 2014 6 4 2 3 2 1 1 2 1 3 2 2 2 1 4 2 2 4 2 2 4 2 2 4 1 1 2 4 2 4 5 4 5 4 2 2 3 5 5 5 3 4 5 5 2 2 5 1 2 2 4 2 1 1 2 1 5 23 2 5 3 30 1 9 4 12 10 13 9 10 16 12 8 35 35 20 2.91666674613953 2.91666674613953 2.5 20 11 2 7 4 5 3 21 -1.44418251514435 -0.568565130233765 0.213015228509903 -1.49537217617035 -0.646656692028046 0.348051488399506 25 0
